RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15925581,User0,650,Spain,Male,37,0,122669.85,1,0,1,125163.32,0
2,15903489,User1,685,Spain,Male,30,6,193855.35,1,1,1,82895.3,0
3,15512905,User2,617,Germany,Female,60,8,88428.92,1,0,1,132403.95,0
4,15896027,User3,543,France,Male,43,4,111697.15,2,0,1,68426.0,0
5,15699793,User4,595,France,Male,23,2,197248.31,1,1,0,74398.41,0
6,15950213,User5,531,France,Female,44,1,139963.34,2,1,1,145577.82,0
7,15667818,User6,657,France,Male,35,4,97764.88,3,0,0,66396.93,0
8,15767973,User7,810,France,Male,58,7,72227.12,1,1,1,130367.14,1
9,15791654,User8,590,France,Female,28,9,83394.52,3,0,1,125163.12,0
10,15994782,User9,575,Spain,Male,18,4,187677.32,1,0,0,100501.79,0
11,15706861,User10,708,France,Female,39,3,37508.43,2,1,1,18234.23,0
12,15934734,User11,692,Spain,Female,35,0,72792.3,1,0,0,35296.49,0
13,15965206,User12,662,France,Male,34,8,0.0,2,0,1,45954.47,0
14,15940730,User13,538,France,Male,18,8,139010.26,2,0,1,36410.82,0
15,15564923,User14,646,Germany,Male,43,1,0.0,1,1,0,142746.88,1
16,15935897,User15,733,Germany,Male,55,4,65314.28,2,1,1,57023.77,1
17,15841107,User16,488,France,Female,19,1,131321.71,1,1,1,38724.0,0
18,15979179,User17,595,Germany,Male,50,0,75988.14,1,0,1,75006.66,0
19,15616574,User18,421,Germany,Female,33,8,87378.54,3,1,0,95247.48,0
20,15584584,User19,495,France,Female,62,2,35139.98,1,1,1,17566.11,1
21,15892781,User20,428,Germany,Female,43,8,65409.79,2,1,1,129943.96,0
22,15604063,User21,621,Germany,Female,37,2,10363.89,1,1,1,135768.57,0
23,15552339,User22,497,France,Female,50,1,97719.61,1,0,1,70593.69,0
24,15798934,User23,682,Germany,Male,44,0,100825.19,1,1,1,139945.62,0
25,15591278,User24,668,France,Male,33,3,129770.75,1,1,0,23219.38,0
26,15756510,User25,627,France,Male,46,3,82462.76,2,0,1,72743.76,0
27,15544413,User26,347,France,Male,33,2,101872.64,2,1,1,91925.14,0
28,15675613,User27,585,France,Female,21,1,87426.8,2,0,1,103467.48,0
29,15562828,User28,644,Germany,Female,59,0,130616.52,2,1,1,156694.44,1
30,15847483,User29,663,France,Female,35,2,122866.57,1,1,1,83711.46,0
31,15997612,User30,466,France,Male,32,6,80539.2,1,1,0,50119.07,0
32,15749443,User31,592,France,Female,42,6,56875.01,1,0,0,110586.12,1
33,15707672,User32,532,France,Female,23,0,0.0,1,1,1,107641.43,1
34,15751882,User33,552,France,Male,25,1,117157.35,1,1,0,122059.82,0
35,15986643,User34,777,France,Female,34,6,89746.72,1,1,1,83508.92,0
36,15757041,User35,553,France,Male,33,0,186732.94,1,0,1,108482.67,0
37,15793148,User36,646,France,Male,39,4,7255.58,2,1,0,71822.47,0
38,15576403,User37,756,Germany,Male,50,1,101083.1,1,1,0,127722.55,1
39,15786010,User38,579,Germany,Female,34,9,51496.5,2,1,1,67340.62,0
40,15921235,User39,636,Germany,Female,43,2,118393.96,4,1,0,69392.09,0
41,15702300,User40,663,France,Male,45,3,57017.37,1,1,1,157438.26,0
42,15510412,User41,657,Germany,Male,28,1,98221.75,3,1,0,62465.44,0
43,15859432,User42,502,Germany,Female,41,4,86073.7,2,0,1,100118.51,0
44,15647236,User43,659,France,Male,29,5,105228.75,1,1,0,127906.05,0
45,15891391,User44,813,France,Female,49,6,116061.23,4,0,1,84276.65,0
46,15835767,User45,464,Spain,Male,43,8,148582.6,1,1,1,144485.55,0
47,15775166,User46,753,Spain,Female,39,1,180996.16,1,1,0,71344.8,1
48,15725128,User47,664,France,Female,25,8,79424.76,1,1,1,150194.0,0
49,15501121,User48,573,France,Female,40,6,109424.86,1,1,0,23242.12,1
50,15686435,User49,850,Germany,Male,31,4,181247.4,2,0,1,33340.03,0
51,15602462,User50,741,Germany,Male,46,8,82787.24,1,0,0,103206.52,0
52,15600459,User51,506,Germany,Female,37,7,96326.68,2,1,0,170277.88,0
53,15819854,User52,658,France,Male,30,5,109804.07,1,1,1,179260.95,1
54,15872858,User53,719,France,Female,48,7,48104.1,1,1,1,57622.33,0
55,15725518,User54,627,France,Female,46,6,0.0,1,1,1,98444.19,0
56,15986174,User55,731,Spain,Female,33,6,105946.59,2,1,0,75709.71,0
57,15643026,User56,642,France,Female,50,1,45007.28,1,1,1,1000.0,0
58,15994785,User57,730,France,Male,36,8,149577.37,1,1,0,135532.11,0
59,15690763,User58,822,France,Female,35,0,234377.42,1,1,1,81427.21,0
60,15854537,User59,568,Germany,Female,40,3,43485.42,2,0,0,167280.81,0
61,15924829,User60,674,France,Female,31,2,93481.52,2,0,1,113590.42,0
62,15715461,User61,594,France,Male,34,7,117150.81,1,0,0,73761.02,1
63,15970907,User62,665,Spain,Female,37,6,158535.91,3,0,0,65887.16,1
64,15986114,User63,507,France,Female,54,5,27229.1,1,1,0,90633.63,0
65,15574569,User64,580,Germany,Female,53,4,82775.88,1,1,0,122244.33,1
66,15956054,User65,626,France,Male,36,7,133205.6,1,1,0,75796.64,1
67,15755327,User66,757,France,Male,55,3,165485.21,2,0,1,237835.21,0
68,15716926,User67,787,Spain,Male,38,7,122716.12,1,1,1,110127.6,0
69,15606260,User68,491,Germany,Male,42,9,133023.72,2,0,0,44004.34,1
70,15971230,User69,554,Germany,Male,47,0,108847.94,3,0,0,103869.31,0
71,15923421,User70,727,France,Male,41,6,145652.34,1,1,0,156205.51,1
72,15889149,User71,410,Germany,Male,63,8,116776.56,1,0,0,121017.79,0
73,15636502,User72,594,France,Male,41,4,102343.94,1,1,1,83610.07,0
74,15528649,User73,638,Germany,Female,27,0,109421.05,1,1,0,67284.32,0
75,15584169,User74,800,Germany,Female,52,1,77691.34,1,0,1,61056.56,0
76,15895458,User75,732,France,Male,34,4,174583.45,1,0,0,41651.65,1
77,15665877,User76,610,Germany,Female,35,4,96468.42,2,0,1,74536.41,0
78,15948708,User77,605,France,Male,18,5,66052.06,4,1,1,112808.09,0
79,15513440,User78,619,France,Male,49,3,225771.33,3,0,0,72069.62,0
80,15643715,User79,832,Germany,Male,47,8,150613.86,1,1,1,179907.08,0
81,15889447,User80,598,Germany,Male,46,0,75618.72,1,1,1,118449.71,1
82,15944247,User81,613,France,Female,48,0,110824.69,2,1,0,78086.06,0
83,15878385,User82,692,Germany,Female,55,1,108194.32,4,0,1,98283.24,1
84,15576169,User83,635,Germany,Female,38,6,152256.39,1,0,1,172016.34,0
85,15697891,User84,626,France,Male,48,1,48787.82,3,1,1,16086.13,1
86,15872393,User85,516,Spain,Male,31,3,130172.61,2,0,1,111551.29,1
87,15701703,User86,648,Germany,Male,35,7,71805.69,1,1,0,231650.53,1
88,15808670,User87,596,France,Female,49,0,71226.73,1,0,0,149170.23,1
89,15949621,User88,789,Spain,Female,42,8,91559.58,1,0,1,55403.04,0
90,15529472,User89,728,France,Male,25,3,130751.33,1,1,1,106033.51,0
91,15674802,User90,647,Germany,Male,42,1,72388.33,1,1,0,88312.39,0
92,15873676,User91,730,Germany,Male,37,6,116063.9,2,1,1,236794.68,1
93,15596738,User92,609,Germany,Male,30,4,133334.0,1,1,0,66841.25,0
94,15935574,User93,776,Germany,Female,43,0,80606.91,2,0,0,86480.18,0
95,15649507,User94,649,France,Male,34,6,84373.66,2,1,1,83631.33,1
96,15983132,User95,720,France,Female,23,8,70807.24,1,1,1,29811.41,0
97,15985977,User96,495,Germany,Male,27,2,99037.22,2,1,0,1000.0,0
98,15593111,User97,691,France,Male,56,0,173800.44,1,1,1,88202.82,0
99,15545098,User98,447,Germany,Male,23,5,119177.77,2,1,0,125208.97,0
100,15714432,User99,405,Germany,Male,41,2,113183.22,1,1,0,78588.28,1
101,15663873,User100,613,France,Male,45,7,85277.26,3,1,0,124211.81,0
102,15861356,User101,542,Germany,Male,45,3,139865.13,1,0,0,136922.42,0
103,15586688,User102,669,France,Female,26,3,129996.8,2,1,1,134225.26,0
104,15807078,User103,850,Germany,Male,35,0,69025.56,2,0,1,16355.86,0
105,15651632,User104,550,France,Female,40,1,97721.45,1,1,0,174103.56,1
106,15891551,User105,575,France,Female,47,9,62459.2,2,1,1,142164.12,0
107,15545113,User106,674,France,Female,32,6,80167.46,1,1,0,139398.57,0
108,15575334,User107,709,France,Female,27,9,23406.39,1,1,0,100381.85,1
109,15928392,User108,628,France,Female,49,0,69022.4,1,1,1,99739.93,0
110,15983689,User109,625,France,Female,50,9,40114.7,2,0,0,73211.68,1
111,15647256,User110,734,France,Female,42,6,66606.18,1,0,1,120562.07,1
112,15555567,User111,712,France,Female,32,1,213000.72,2,0,1,145329.01,0
113,15505204,User112,525,Germany,Female,43,5,174858.0,1,0,0,71811.28,1
114,15970854,User113,640,Spain,Male,40,8,68637.31,1,0,1,140159.21,0
115,15524952,User114,654,Germany,Male,47,4,32804.3,2,1,1,76962.25,0
116,15791583,User115,523,France,Female,26,3,56657.83,4,1,1,129089.38,0
117,15597910,User116,681,France,Male,40,9,7167.66,1,1,1,92747.95,0
118,15570036,User117,547,Germany,Male,37,2,46362.54,3,1,1,142201.9,0
119,15739712,User118,766,France,Male,27,8,63683.77,1,1,1,194787.43,0
120,15513419,User119,673,France,Female,41,6,48682.4,2,1,1,111068.48,0
121,15663501,User120,660,France,Male,39,0,103224.2,1,1,1,75711.26,0
122,15839758,User121,579,Germany,Male,34,0,81462.23,2,1,1,78909.68,0
123,15649557,User122,635,France,Female,42,0,86262.21,1,1,0,130603.49,1
124,15850970,User123,410,France,Female,24,0,213078.34,2,0,1,75569.3,0
125,15779777,User124,514,France,Male,38,4,153879.34,1,0,1,148123.57,0
126,15845860,User125,693,France,Male,43,9,117427.71,1,1,0,114599.34,1
127,15517779,User126,394,France,Female,41,7,161599.05,2,0,0,144520.32,1
128,15566099,User127,751,France,Female,49,3,102618.85,1,1,0,72789.87,0
129,15974859,User128,440,France,Male,26,6,43366.94,4,1,0,52873.49,1
130,15650881,User129,740,Germany,Male,23,7,118314.36,2,0,1,63315.16,0
131,15603954,User130,548,Germany,Female,41,0,103663.02,4,1,1,119554.0,0
132,15567242,User131,743,France,Female,43,4,31499.44,1,1,1,61315.65,0
133,15530591,User132,665,France,Male,60,7,178792.52,2,1,0,134193.07,1
134,15913943,User133,465,Germany,Male,45,0,210255.89,1,1,0,1000.0,0
135,15704976,User134,799,France,Male,30,5,35096.69,1,1,1,67214.49,0
136,15918304,User135,823,France,Male,47,4,94657.45,1,1,1,91911.36,0
137,15972876,User136,642,France,Female,30,4,29172.43,1,0,0,10000.37,1
138,15797419,User137,617,France,Female,24,1,91478.61,1,1,0,69929.39,0
139,15679642,User138,630,France,Male,65,6,96791.88,1,1,0,26314.89,1
140,15710840,User139,532,Germany,Male,42,0,63275.39,1,1,0,96565.15,0
141,15927117,User140,781,Germany,Male,46,7,125288.6,2,1,1,88140.41,0
142,15987177,User141,584,France,Female,44,0,129462.66,1,1,1,136607.07,0
143,15628777,User142,643,France,Female,57,4,96044.11,1,1,1,58633.56,0
144,15679373,User143,554,France,Female,41,4,143786.99,2,1,1,19838.95,0
145,15734482,User144,574,Spain,Female,51,8,58526.13,2,1,0,73269.87,0
146,15508857,User145,496,France,Male,28,2,180637.31,2,1,1,106482.94,0
147,15694353,User146,800,France,Male,25,0,92323.49,3,1,1,104731.75,0
148,15831058,User147,631,France,Female,53,3,94394.14,2,0,0,108390.08,1
149,15763160,User148,765,France,Female,53,8,130132.58,1,1,1,160204.28,0
150,15750898,User149,651,France,Male,44,9,91612.51,4,1,1,82603.39,0
151,15942413,User150,566,France,Male,41,1,64126.72,1,1,0,89692.86,0
152,15556214,User151,610,Germany,Male,40,8,170351.93,1,1,0,58511.58,1
153,15998248,User152,582,Spain,Female,32,8,75464.4,1,1,1,70951.84,0
154,15711900,User153,650,Germany,Male,54,7,144797.46,1,1,0,151578.91,0
155,15997549,User154,604,France,Male,45,9,54304.25,1,1,0,117968.36,0
156,15957327,User155,614,France,Male,44,2,64942.83,1,1,0,1000.0,0
157,15852799,User156,484,France,Female,42,1,91378.17,2,1,1,159614.91,0
158,15830787,User157,553,Germany,Male,49,7,112765.51,1,1,1,2127.96,0
159,15653540,User158,848,France,Male,44,7,79981.99,2,1,1,79968.68,0
160,15727873,User159,569,Spain,Male,46,6,148806.63,2,0,1,148088.39,1
161,15829703,User160,523,Germany,Male,27,1,29294.97,2,0,0,106656.89,0
162,15789995,User161,690,Germany,Male,44,5,77114.38,1,1,1,127737.17,0
163,15609354,User162,818,Spain,Male,60,5,101562.61,1,1,1,143034.93,0
164,15771980,User163,475,France,Female,33,2,81331.34,1,0,0,114958.38,0
165,15689364,User164,624,France,Female,37,4,8693.51,2,1,1,38345.0,0
166,15667770,User165,574,France,Female,47,2,112605.29,2,0,1,118446.16,0
167,15715340,User166,438,Germany,Female,48,6,71623.05,1,1,1,65922.12,0
168,15568011,User167,738,France,Female,45,4,193208.0,2,1,1,1000.0,0
169,15782763,User168,647,France,Male,22,9,74357.58,1,0,0,85899.42,0
170,15643536,User169,658,France,Female,44,2,165748.02,2,0,1,127320.96,0
171,15666862,User170,559,France,Male,27,5,122268.75,3,0,1,106204.57,0
172,15635555,User171,704,France,Female,30,8,113917.04,3,1,1,100723.68,0
173,15832157,User172,585,Germany,Female,44,0,66204.3,2,0,0,185948.46,0
174,15946150,User173,632,Germany,Female,36,4,94942.88,1,1,1,113766.37,0
175,15553962,User174,517,Germany,Male,47,3,139132.88,3,1,1,145370.13,0
176,15748368,User175,504,France,Male,70,6,8118.15,1,1,0,116519.13,1
177,15832193,User176,810,France,Female,46,0,167160.19,1,1,1,181420.63,0
178,15724303,User177,589,Germany,Female,46,8,43629.59,1,1,1,82223.6,0
179,15952454,User178,685,France,Female,30,1,106095.7,2,1,0,158518.93,0
180,15501088,User179,645,France,Male,32,6,0.0,2,1,0,190124.84,1
181,15554229,User180,597,France,Male,28,5,124950.55,2,0,1,82047.43,1
182,15874905,User181,589,France,Female,33,1,164189.11,1,1,0,152045.97,0
183,15803500,User182,725,France,Female,28,4,129308.07,3,1,1,33712.96,0
184,15627419,User183,613,France,Male,32,3,150149.86,3,1,1,116094.75,0
185,15976421,User184,631,France,Female,36,7,58284.62,1,1,0,136795.18,0
186,15890303,User185,652,France,Female,28,9,116360.7,3,0,0,59607.83,0
187,15904805,User186,791,France,Female,24,5,185827.84,1,1,0,12189.16,0
188,15794814,User187,731,Spain,Female,25,0,71505.02,1,0,1,103020.49,0
189,15605273,User188,695,France,Female,43,2,97713.98,1,1,0,84456.87,1
190,15958186,User189,582,Germany,Male,39,2,125034.51,2,1,1,109801.19,0
191,15913751,User190,484,France,Male,49,3,106942.04,3,0,1,115121.68,0
192,15751557,User191,763,Germany,Female,49,6,85617.11,3,1,1,141760.63,0
193,15632975,User192,765,France,Male,35,7,129936.34,1,1,0,177767.87,0
194,15961215,User193,633,Germany,Male,45,8,87652.1,2,1,1,122064.23,0
195,15946505,User194,715,Germany,Female,24,9,207415.39,1,1,1,25395.85,0
196,15706178,User195,743,France,Male,61,8,77777.74,1,1,0,133988.2,0
197,15563159,User196,749,Germany,Female,50,6,235000.89,2,1,1,120048.81,0
198,15610612,User197,760,France,Female,36,7,106060.5,1,0,0,108073.32,0
199,15840968,User198,595,Spain,Male,27,7,1730.17,1,0,1,178975.94,1
200,15991036,User199,831,Germany,Male,42,7,110235.55,1,1,1,113978.03,1
201,15707147,User200,500,France,Male,20,3,99595.21,2,0,1,83367.05,0
202,15602109,User201,753,Germany,Female,31,3,110065.37,2,1,1,123906.7,0
203,15800131,User202,709,France,Male,46,7,39796.07,1,1,1,22237.69,0
204,15586683,User203,754,Spain,Female,39,0,145336.66,1,1,1,148225.71,0
205,15869178,User204,850,France,Male,34,4,41428.9,1,1,0,104108.69,0
206,15599399,User205,828,France,Male,48,6,39832.65,3,0,1,184384.92,0
207,15774944,User206,512,France,Male,28,7,74542.49,1,1,1,134925.28,0
208,15713052,User207,447,France,Male,41,0,80634.74,4,0,1,119693.44,0
209,15671532,User208,748,France,Male,34,5,154543.37,1,1,0,110462.9,0
210,15750381,User209,528,Spain,Male,30,7,86393.9,2,1,1,43038.81,0
211,15807986,User210,648,France,Female,43,3,183389.98,2,1,0,97354.92,1
212,15603558,User211,750,France,Male,29,1,42916.19,1,1,0,116026.54,1
213,15537804,User212,452,Germany,Male,58,5,30401.09,1,1,0,149878.15,0
214,15795128,User213,396,Spain,Male,33,0,93798.09,1,1,0,122666.64,1
215,15569910,User214,681,France,Female,58,4,171770.22,1,1,1,135656.61,1
216,15965765,User215,655,France,Male,28,9,22472.84,1,1,1,135282.16,0
217,15853553,User216,620,Germany,Male,45,4,27713.84,1,1,0,75515.14,1
218,15769447,User217,654,Germany,Female,27,1,104576.71,2,1,1,116491.97,0
219,15638051,User218,546,France,Male,25,7,152367.44,1,0,0,90915.35,0
220,15808284,User219,468,France,Male,40,5,19612.29,1,1,0,39903.63,0
221,15852960,User220,630,France,Female,45,5,99657.61,1,0,0,27203.74,0
222,15663813,User221,533,Spain,Male,26,0,45573.51,3,1,0,142360.18,0
223,15588257,User222,452,Spain,Male,50,5,164263.26,2,1,1,172286.73,0
224,15679899,User223,710,France,Female,31,9,167345.7,1,1,1,171693.65,0
225,15562896,User224,642,France,Male,40,7,113475.83,1,1,0,59876.16,0
226,15707525,User225,698,France,Female,42,0,76069.69,3,1,1,175599.01,0
227,15694802,User226,531,France,Male,44,0,99546.86,1,1,0,178504.64,0
228,15860836,User227,571,France,Male,21,6,125323.67,2,1,0,64336.89,0
229,15942833,User228,530,France,Male,55,9,47867.11,2,1,0,125758.06,0
230,15854226,User229,543,France,Male,44,8,43682.19,2,0,0,185912.71,0
231,15543923,User230,673,France,Female,34,0,31987.44,1,0,0,106367.42,0
232,15919060,User231,556,France,Female,28,2,63505.16,2,0,0,160154.96,0
233,15801482,User232,692,Spain,Female,22,6,52301.83,1,1,0,71339.27,0
234,15788660,User233,690,France,Female,25,0,136623.75,3,0,0,85210.91,0
235,15611528,User234,850,France,Male,44,4,0.0,1,1,0,145140.18,0
236,15741806,User235,482,Germany,Male,35,0,122726.36,1,0,1,93795.56,1
237,15783829,User236,756,France,Female,27,3,151336.57,2,1,0,108201.35,0
238,15783764,User237,639,France,Female,33,0,116180.78,2,1,1,106531.28,0
239,15693511,User238,648,Germany,Male,54,5,113920.96,3,1,1,51568.64,0
240,15994000,User239,476,France,Male,35,7,31727.42,2,1,0,175414.33,0
241,15541060,User240,594,Germany,Male,33,1,35504.2,1,1,1,95244.29,1
242,15708944,User241,739,France,Female,52,5,99811.55,1,1,1,85792.62,0
243,15549169,User242,640,Spain,Female,43,5,58222.96,1,1,0,79971.64,0
244,15885006,User243,659,France,Female,39,8,83967.23,1,0,1,105110.55,1
245,15666806,User244,615,Germany,Female,32,1,72649.67,2,1,0,56080.54,0
246,15915512,User245,788,France,Female,23,6,76426.47,2,0,0,144579.63,0
247,15670050,User246,647,Germany,Male,27,7,97205.19,1,1,1,85160.5,0
248,15735928,User247,385,Germany,Male,34,5,20991.77,1,1,1,140892.08,0
249,15859891,User248,566,Germany,Female,36,5,83515.63,1,0,1,58756.3,0
250,15566731,User249,413,Germany,Male,42,2,168536.02,2,0,1,51756.13,1
251,15802193,User250,300,Germany,Female,44,8,131438.78,1,1,0,56546.26,1
252,15962134,User251,586,Germany,Male,41,2,61534.44,2,1,0,113164.77,0
253,15618196,User252,810,Germany,Male,41,8,78584.24,3,1,0,36799.7,0
254,15717405,User253,655,France,Female,28,9,110074.94,3,1,0,143259.34,1
255,15995720,User254,509,France,Female,18,6,92805.51,1,1,0,85562.82,0
256,15502221,User255,537,Spain,Male,33,9,46803.13,3,1,1,145963.36,1
257,15813846,User256,785,France,Female,29,3,66803.94,1,1,1,82977.7,0
258,15973784,User257,668,France,Female,32,4,155039.08,3,0,0,141730.6,0
259,15569368,User258,655,Germany,Female,36,6,156782.79,2,1,0,51189.98,1
260,15741117,User259,643,Spain,Female,26,7,80941.59,1,0,1,47609.19,0
261,15889360,User260,654,Germany,Male,27,6,123281.77,2,1,0,130905.48,0
262,15502235,User261,746,Germany,Male,37,7,94062.48,1,1,0,74557.25,1
263,15765233,User262,716,France,Female,40,1,148972.48,4,1,1,153828.97,0
264,15934226,User263,675,France,Male,32,2,110329.15,1,1,0,67484.67,0
265,15651499,User264,524,France,Male,43,0,106318.35,2,1,0,126784.33,1
266,15903176,User265,711,France,Male,36,1,37590.02,1,0,0,61276.47,0
267,15502132,User266,567,France,Male,28,5,89524.42,1,1,1,15844.77,0
268,15538534,User267,781,France,Male,39,7,52299.23,1,1,0,172128.47,0
269,15837541,User268,497,France,Female,57,1,0.0,2,1,1,91296.47,0
270,15749619,User269,633,Spain,Male,32,9,164911.19,1,1,1,149367.08,0
271,15587465,User270,649,Germany,Male,50,8,121619.43,2,1,0,110271.67,0
272,15900796,User271,491,France,Female,52,9,109130.33,3,1,1,17032.91,0
273,15701587,User272,850,France,Female,53,5,94010.49,1,0,1,120959.37,0
274,15917599,User273,825,France,Female,30,3,131996.27,2,0,0,154754.78,0
275,15579411,User274,594,France,Male,59,5,147206.95,1,1,0,165119.76,1
276,15655983,User275,742,France,Male,40,0,32818.82,2,1,0,182197.99,0
277,15502477,User276,695,France,Female,36,5,115660.02,2,1,1,120733.78,0
278,15686250,User277,336,France,Female,36,3,75539.43,1,1,0,96337.83,0
279,15650774,User278,680,France,Male,45,0,107252.57,2,1,1,104846.96,0
280,15887095,User279,642,Spain,Female,39,0,23563.52,1,1,0,44011.81,0
281,15573212,User280,659,France,Female,37,0,115124.08,1,1,1,137622.36,0
282,15783594,User281,520,France,Male,51,9,26494.73,3,1,1,137046.86,0
283,15520259,User282,617,Germany,Female,31,2,84140.69,1,0,1,118534.5,1
284,15959898,User283,628,France,Male,28,3,175043.85,1,1,1,63204.96,0
285,15659971,User284,792,Spain,Female,46,4,143152.13,1,1,0,133059.14,1
286,15919568,User285,690,Germany,Female,46,8,87870.61,3,1,0,74143.6,1
287,15982670,User286,649,Germany,Male,49,0,76152.21,4,1,0,162767.9,1
288,15591003,User287,833,Germany,Female,28,2,46162.8,1,0,0,71331.13,0
289,15671976,User288,583,France,Female,49,6,121007.02,1,1,1,75254.5,0
290,15971768,User289,603,France,Male,43,9,62315.48,1,1,0,85464.45,0
291,15601969,User290,431,Germany,Female,56,6,55134.88,2,0,0,50377.25,1
292,15808861,User291,838,France,Female,26,4,0.0,1,0,1,57027.06,0
293,15893059,User292,765,Germany,Male,41,8,66642.93,2,0,0,87228.08,0
294,15862936,User293,760,France,Female,36,8,66720.39,4,0,0,1000.0,0
295,15711386,User294,730,France,Male,23,9,66606.27,1,0,1,199777.49,0
296,15720051,User295,663,France,Female,31,5,113905.44,1,1,0,119514.87,0
297,15501031,User296,675,Spain,Female,50,2,20631.66,3,1,0,115475.32,1
298,15506853,User297,619,Spain,Female,34,7,43801.3,1,1,0,57544.49,1
299,15726139,User298,625,Spain,Female,31,5,121561.05,1,1,0,110490.74,0
300,15528158,User299,656,France,Male,47,0,49904.91,2,1,1,100581.13,1
301,15826515,User300,831,Germany,Male,48,8,75045.46,1,0,1,105772.02,0
302,15589757,User301,716,France,Female,48,0,97980.62,2,0,1,27888.0,0
303,15711802,User302,642,France,Female,31,7,106211.17,1,1,0,95136.72,1
304,15879500,User303,580,Germany,Male,38,3,57456.04,2,1,0,7612.74,0
305,15778354,User304,573,France,Female,49,1,172597.74,1,1,1,91086.17,1
306,15574440,User305,842,Germany,Female,32,8,127898.09,2,1,1,57011.59,0
307,15586485,User306,710,France,Male,31,6,35450.83,1,1,1,70797.3,0
308,15828640,User307,658,Spain,Male,47,9,105745.48,3,1,0,84757.93,0
309,15829581,User308,608,Germany,Male,54,3,108385.65,1,0,0,142310.87,0
310,15514872,User309,516,France,Female,27,7,74137.53,2,1,0,161102.9,0
311,15736655,User310,641,France,Male,18,8,58458.75,1,1,0,102237.95,0
312,15873159,User311,754,France,Female,24,5,49292.86,2,1,1,47500.59,0
313,15649120,User312,602,France,Male,28,2,137059.23,1,1,0,174183.53,0
314,15535371,User313,622,Spain,Male,37,0,43188.98,1,1,0,31301.44,1
315,15639460,User314,623,Germany,Female,45,4,143643.65,2,1,0,73415.02,0
